********************************************************************************
product = Open Liberty 19.0.0.3 (wlp-1.0.26.cl190320190321-1636)
wlp.install.dir = D:/devel/tools/wlp/
java.home = C:\Program Files\Java\jre1.8.0_211
java.version = 1.8.0_211
java.runtime = Java(TM) SE Runtime Environment (1.8.0_211-b12)
os = Windows 10 (10.0; amd64) (es_PE)
process = 10252@DESKTOP-DIRMJ0E
********************************************************************************
[04/07/19 16:43:47:040 COT] 00000013 org.apache.cxf.bus.osgi.CXFActivator                         I Adding the extensions from bundle com.ibm.ws.org.apache.cxf-rt-transports-http.2.6.2 (271) [org.apache.cxf.transport.http.HTTPTransportFactory, org.apache.cxf.transport.http.HTTPWSDLExtensionLoader, org.apache.cxf.transport.http.policy.HTTPClientAssertionBuilder, org.apache.cxf.transport.http.policy.HTTPServerAssertionBuilder, org.apache.cxf.transport.http.policy.NoOpPolicyInterceptorProvider]
[04/07/19 16:43:47:041 COT] 00000013 org.apache.cxf.bus.osgi.CXFActivator                         I Adding the extensions from bundle com.ibm.ws.org.apache.cxf-rt-bindings-soap.2.6.2 (272) [org.apache.cxf.binding.soap.SoapBindingFactory, org.apache.cxf.binding.soap.SoapTransportFactory]
[04/07/19 16:43:47:043 COT] 00000013 org.apache.cxf.bus.osgi.CXFActivator                         I Adding the extensions from bundle com.ibm.ws.org.apache.cxf-rt-ws-policy.2.6.2 (275) [org.apache.cxf.ws.policy.PolicyEngine, org.apache.cxf.policy.PolicyDataEngine, org.apache.cxf.ws.policy.AssertionBuilderRegistry, org.apache.cxf.ws.policy.PolicyInterceptorProviderRegistry, org.apache.cxf.ws.policy.PolicyBuilder, org.apache.cxf.ws.policy.PolicyAnnotationListener, org.apache.cxf.ws.policy.attachment.ServiceModelPolicyProvider, org.apache.cxf.ws.policy.attachment.external.DomainExpressionBuilderRegistry, org.apache.cxf.ws.policy.attachment.external.EndpointReferenceDomainExpressionBuilder, org.apache.cxf.ws.policy.attachment.wsdl11.Wsdl11AttachmentPolicyProvider, org.apache.cxf.ws.policy.mtom.MTOMAssertionBuilder, org.apache.cxf.ws.policy.mtom.MTOMPolicyInterceptorProvider]
[04/07/19 16:43:48:207 COT] 00000013 com.ibm.ws.cache.ServerCache                                 I DYNA1001I: La instancia de memoria caché dinámica de WebSphere con nombre baseCache se ha inicializado correctamente.
[04/07/19 16:43:48:213 COT] 00000013 com.ibm.ws.cache.ServerCache                                 I DYNA1071I: Se está utilizando el proveedor de memoria caché default.
[04/07/19 16:43:48:216 COT] 00000013 com.ibm.ws.cache.CacheServiceImpl                            I DYNA1056I: La memoria caché dinámica (memoria caché de objeto) se ha inicializado correctamente.
[04/07/19 16:43:48:305 COT] 00000013 com.ibm.ws.security.jwt.internal.ConsumerImpl                I CWWKS6012I: El servicio de consumidor JWT (JSON Web Token) está disponible.
[04/07/19 16:43:48:335 COT] 00000013 com.ibm.ws.security.jwt.web.JwtEndpointServices              I CWWKS6002I: El servicio de punto final de señal web de JSON (JWT) está disponible.
[04/07/19 16:43:48:354 COT] 00000013 .ws.security.mp.jwt.v11.config.impl.MpConfigProxyServiceImpl I CWWKS5775I: mpConfigProxy de MicroProfile JWT versión 1.1 se ha procesado correctamente.
[04/07/19 16:43:48:369 COT] 00000013 com.ibm.ws.security.mp.jwt.impl.MicroProfileJwtConfigImpl    I CWWKS5500I: La configuración de MicroProfile JWT [defaultMpJwt] se ha procesado correctamente.
[04/07/19 16:43:48:374 COT] 00000013 com.ibm.ws.security.mp.jwt.impl.MicroProfileJwtServiceImpl   I CWWKS5500I: La configuración de MicroProfile JWT [MicroProfileJwtService] se ha procesado correctamente.
[04/07/19 16:43:48:528 COT] 00000013 com.ibm.ws.session.WASSessionCore                            I SESN8501I: El gestor de sesiones no ha encontrado una ubicación de almacenamiento persistente; los objetos HttpSession se almacenarán en la memoria del servidor de aplicaciones local.
[04/07/19 16:43:50:035 COT] 00000013 com.ibm.ws.transport.iiop.internal.ORBWrapperInternal        A CWWKI0001I: El servidor de nombres CORBA está ahora disponible en corbaloc:iiop:localhost:2809/NameService.
[04/07/19 16:43:53:247 COT] 00000022 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Cargando módulo web: OpenAPIUI.
[04/07/19 16:43:53:256 COT] 00000022 com.ibm.ws.webcontainer                                      I SRVE0250I: El módulo web OpenAPIUI se ha enlazado con default_host.
[04/07/19 16:43:53:247 COT] 0000001c com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Cargando módulo web: com.ibm.ws.security.jwt.
[04/07/19 16:43:53:259 COT] 0000001c com.ibm.ws.webcontainer                                      I SRVE0250I: El módulo web com.ibm.ws.security.jwt se ha enlazado con default_host.
[04/07/19 16:43:53:247 COT] 00000020 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Cargando módulo web: PrivateMicroProfileMetrics.
[04/07/19 16:43:53:261 COT] 00000020 com.ibm.ws.webcontainer                                      I SRVE0250I: El módulo web PrivateMicroProfileMetrics se ha enlazado con default_host.
[04/07/19 16:43:53:247 COT] 0000001e com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Cargando módulo web: MicroProfileOpenAPI.
[04/07/19 16:43:53:261 COT] 0000001e com.ibm.ws.webcontainer                                      I SRVE0250I: El módulo web MicroProfileOpenAPI se ha enlazado con default_host.
[04/07/19 16:43:53:259 COT] 00000022 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicación web disponible (default_host): http://localhost:9080/openapi/ui/
[04/07/19 16:43:53:253 COT] 0000001d com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Cargando módulo web: ibm/api.
[04/07/19 16:43:53:265 COT] 0000001d com.ibm.ws.webcontainer                                      I SRVE0250I: El módulo web ibm/api se ha enlazado con default_host.
